home,away,home_score,away_score,score,date,conf_x,adj_off_x,adj_def_x,adj_tempo_x,poss_off_x,poss_def_x,fg_off_x,fg_def_x,turnover_off_x,turnover_def_x,reb_off_x,reb_def_x,three_off_x,three_def_x,experience_x,height_x,wins_five_x,wins_last_x,conf_y,adj_off_y,adj_def_y,adj_tempo_y,poss_off_y,poss_def_y,fg_off_y,fg_def_y,turnover_off_y,turnover_def_y,reb_off_y,reb_def_y,three_off_y,three_def_y,experience_y,height_y,wins_five_y,wins_last_y
Michigan,Wisconsin,77,54,23,2021-01-12,B10,116.4,91.4,68.0,16.6,17.6,59.0,43.8,18.2,15.2,31.1,24.1,35.8,34.8,2.1,77.9,5,1,B10,114.9,89.2,64.9,18.1,18.0,53.8,44.4,12.1,18.2,23.7,21.9,41.4,33.0,2.33,78.2,4.0,1.0
Oklahoma St.,Kansas,75,70,5,2021-01-12,B12,109.8,92.3,71.7,15.7,17.6,51.3,46.8,19.2,19.5,32.2,29.6,31.6,33.2,1.12,77.6,2,1,B12,112.7,89.5,68.7,16.3,17.5,49.9,47.2,18.0,18.1,35.0,25.9,35.5,32.1,1.42,78.2,4.0,1.0
Virginia Tech,Duke,74,67,7,2021-01-12,ACC,111.7,93.9,67.2,17.7,18.0,53.0,48.8,17.9,18.6,31.8,23.0,35.3,33.8,1.63,76.3,4,1,ACC,112.8,92.9,69.0,16.4,16.8,52.7,52.2,20.0,21.8,35.3,24.9,35.2,37.1,0.9,76.9,4.0,1.0
Kentucky,Alabama,65,85,-20,2021-01-12,SEC,107.7,91.1,68.0,17.0,18.0,47.2,45.9,20.8,18.3,33.8,30.4,31.1,30.8,0.9,79.0,3,1,SEC,111.6,93.0,74.6,14.2,17.5,49.4,47.4,18.0,21.0,32.8,29.2,32.2,31.6,1.93,77.9,5.0,1.0
North Carolina,Syracuse,81,75,6,2021-01-12,ACC,108.6,90.3,71.1,15.8,17.7,46.1,48.7,22.0,18.8,40.7,23.7,30.4,34.7,1.08,78.8,3,1,ACC,109.6,92.7,70.6,15.3,17.0,51.3,46.3,17.5,22.8,29.6,28.0,32.6,29.8,1.49,77.9,4.0,1.0
Florida,Mississippi,72,63,9,2021-01-12,SEC,111.1,94.3,70.4,15.7,17.0,53.8,48.8,20.4,22.6,32.2,29.3,38.5,37.3,1.52,77.4,2,0,SEC,104.9,90.4,69.0,16.9,16.5,49.2,46.3,20.2,26.1,34.1,26.2,28.6,34.4,1.93,77.2,2.0,0.0
Marquette,Providence,79,69,10,2021-01-12,BE,110.8,96.3,67.8,18.1,17.0,51.8,47.2,20.5,15.7,33.0,28.3,37.2,34.3,1.71,78.1,1,0,BE,110.2,96.6,66.2,17.8,17.7,50.6,50.5,16.5,18.5,31.4,29.8,31.6,33.7,1.88,77.9,2.0,0.0
Boston College,Miami FL,84,62,22,2021-01-12,ACC,105.9,99.5,72.3,16.4,16.6,50.6,54.5,20.5,19.8,26.2,29.5,33.0,34.5,1.83,76.6,1,0,ACC,105.2,92.6,69.8,17.7,16.2,47.8,47.2,20.6,20.6,29.6,25.1,28.0,35.5,1.44,78.3,2.0,1.0
St. John's,Butler,69,57,12,2021-01-12,BE,107.7,99.6,74.8,14.3,16.9,50.3,55.9,17.5,22.9,29.4,28.4,33.5,38.5,1.48,77.0,1,0,BE,105.5,97.0,67.1,19.3,17.4,48.9,54.2,17.0,18.3,24.8,22.8,36.0,39.2,1.5,76.6,2.0,0.0
Oklahoma,TCU,82,46,36,2021-01-12,B12,112.0,95.3,68.8,17.0,17.2,51.0,50.4,15.8,19.3,30.4,27.5,33.2,39.0,2.11,77.2,2,0,B12,106.3,97.0,67.7,18.2,17.1,52.7,48.6,20.4,17.6,28.8,28.4,35.4,29.3,1.13,77.5,3.0,0.0
Bowling Green,Ball St.,64,88,-24,2021-01-12,MAC,107.8,101.3,70.8,16.3,16.4,51.6,49.8,14.5,19.7,28.5,28.0,36.9,32.9,1.79,76.3,5,1,MAC,101.1,101.1,70.0,16.6,16.9,48.9,49.7,18.1,19.9,26.1,32.3,31.0,31.2,1.99,76.9,2.0,0.0
Central Michigan,Kent St.,85,94,-9,2021-01-12,MAC,100.7,107.6,72.2,15.7,16.7,48.7,53.5,17.6,18.6,28.6,32.8,34.8,38.6,2.04,77.3,2,0,MAC,104.2,101.2,71.0,17.4,17.4,53.4,46.2,20.2,17.8,35.2,26.3,35.3,32.7,2.26,77.2,3.0,1.0
Ohio,Miami OH,78,61,17,2021-01-12,MAC,107.7,104.2,69.4,17.1,16.7,55.2,52.9,17.0,20.7,28.8,27.6,37.1,35.3,1.46,76.9,2,0,MAC,100.3,103.7,66.2,18.3,17.0,47.7,50.1,16.1,19.8,24.2,31.4,36.7,31.4,1.96,75.4,3.0,1.0
Western Michigan,Buffalo,69,85,-16,2021-01-12,MAC,95.1,104.2,65.8,18.4,16.8,48.2,49.5,21.2,15.4,26.4,30.0,31.1,30.4,1.73,76.3,0,0,MAC,106.1,100.2,74.2,14.3,16.8,50.7,46.1,18.3,16.2,35.4,25.7,34.6,24.0,2.31,77.0,3.0,1.0
Toledo,Eastern Michigan,96,63,33,2021-01-12,MAC,110.4,100.2,68.4,17.3,17.1,52.0,48.1,17.2,18.9,31.5,29.2,38.5,28.3,1.72,76.7,5,1,MAC,99.6,102.5,67.7,17.3,16.9,47.9,60.4,17.2,20.8,27.6,29.3,27.2,35.8,2.27,76.3,3.0,1.0
Davidson,Saint Joseph's,80,66,14,2021-01-12,A10,111.4,100.1,64.0,19.1,18.4,54.3,50.9,16.9,15.0,29.6,19.6,35.3,32.6,1.76,78.4,3,0,A10,102.3,105.0,74.2,15.9,16.4,48.2,53.2,20.5,17.9,22.1,33.8,28.8,36.7,1.23,78.0,1.0,1.0
Mississippi Valley St.,Alabama St.,51,64,-13,2021-01-12,SWAC,83.6,118.8,73.7,16.1,15.5,41.3,61.0,22.9,15.8,17.3,41.8,31.9,37.8,1.26,76.1,0,0,SWAC,85.3,109.9,68.8,16.2,17.9,41.1,53.7,25.8,22.4,31.5,29.9,28.9,40.0,1.89,75.1,0.0,0.0
Northern Illinois,Akron,67,65,2,2021-01-12,MAC,93.2,106.8,64.5,18.5,17.5,43.3,56.6,22.6,17.0,32.5,28.0,26.3,39.0,1.82,76.7,2,0,MAC,103.5,101.0,69.4,17.3,17.2,52.7,47.3,22.5,13.2,28.8,25.8,31.9,23.0,2.01,75.8,3.0,0.0
Grambling St.,Alcorn St.,79,74,5,2021-01-12,SWAC,90.8,104.2,69.8,17.1,17.0,45.9,45.3,23.9,20.7,24.0,35.3,30.5,35.8,2.38,77.6,3,0,SWAC,91.6,111.1,71.3,18.1,15.2,41.6,65.2,25.3,16.4,33.0,41.2,25.6,44.8,2.0,75.2,3.0,0.0
USC,UC Riverside,67,62,5,2021-01-12,P12,110.9,90.1,68.7,16.9,17.4,53.9,41.1,19.3,17.1,34.4,29.0,35.5,30.0,1.75,79.7,4,1,BW,98.7,99.7,66.9,19.3,16.4,54.9,45.0,20.1,16.7,29.7,22.5,38.3,28.3,1.94,78.7,4.0,1.0
LSU,Arkansas,92,76,16,2021-01-13,SEC,117.5,98.3,69.4,16.2,17.1,56.5,47.7,18.2,21.6,34.3,31.1,36.5,27.8,1.08,77.5,4,1,SEC,111.9,93.2,73.3,15.4,16.1,53.3,45.0,16.1,19.5,34.9,22.9,35.6,30.0,1.6,77.9,3.0,1.0
Texas,Texas Tech,77,79,-2,2021-01-13,B12,113.0,87.8,69.1,16.3,17.9,51.8,42.3,19.0,17.7,32.6,27.5,33.2,27.1,1.88,78.0,5,1,B12,110.8,88.3,66.7,17.7,17.7,50.0,44.3,16.3,26.7,35.1,28.0,33.1,29.5,1.4,76.9,4.0,1.0
Florida St.,N.C. State,105,73,32,2021-01-13,ACC,110.5,92.6,70.3,16.6,17.3,50.0,46.6,19.2,21.8,34.1,29.9,33.9,34.2,1.9,79.5,3,0,ACC,109.3,93.9,69.9,16.3,17.7,53.5,48.5,17.9,25.8,29.9,31.0,36.2,31.6,1.73,77.1,3.0,0.0
Georgia,Auburn,77,95,-18,2021-01-13,SEC,105.0,96.4,75.1,14.9,16.4,50.9,49.6,22.3,22.4,35.6,28.6,30.1,33.0,2.0,76.2,2,0,SEC,107.8,97.6,70.4,16.4,16.6,53.3,49.4,23.4,20.0,33.9,28.7,34.0,30.1,0.76,79.0,1.0,0.0
Wichita St.,Tulsa,72,53,19,2021-01-13,Amer,108.3,98.1,68.8,17.4,17.1,46.1,47.6,15.6,17.5,31.1,35.5,31.8,31.8,1.86,76.5,4,1,Amer,103.4,92.2,65.4,17.4,18.1,51.2,43.7,20.8,22.4,28.3,33.4,30.5,30.7,2.26,77.2,5.0,1.0
Ohio St.,Northwestern,81,71,10,2021-01-13,B10,115.7,94.9,66.2,18.0,17.6,50.4,47.2,14.5,17.2,34.4,27.0,32.1,34.4,1.99,77.3,3,1,B10,108.3,95.1,69.9,15.5,17.9,53.5,48.2,15.6,16.3,20.2,26.3,39.0,32.4,1.5,77.8,2.0,0.0
Massachusetts,Rhode Island,80,78,2,2021-01-13,A10,107.1,101.5,73.6,16.1,15.3,51.2,54.1,16.4,20.6,26.9,22.3,34.4,37.7,0.98,76.8,2,1,A10,106.0,94.0,70.6,16.5,16.6,51.3,46.6,20.7,18.3,26.5,27.4,32.5,32.7,1.92,76.4,3.0,1.0
Wake Forest,Louisville,65,77,-12,2021-01-13,ACC,104.2,100.3,69.0,17.9,17.0,56.1,53.3,21.3,24.2,25.0,24.3,35.5,32.1,1.79,77.3,2,0,ACC,110.5,91.8,66.2,17.8,18.3,52.5,45.7,19.9,17.8,30.9,25.3,34.2,31.6,0.96,77.6,4.0,1.0
Dayton,Duquesne,72,63,9,2021-01-13,A10,109.0,97.5,65.3,18.8,18.2,57.8,49.4,23.6,20.1,24.6,30.8,36.8,34.4,2.11,77.7,3,1,A10,103.1,96.4,68.3,17.1,18.2,46.7,48.1,20.2,20.5,30.3,29.9,28.9,27.8,1.95,76.1,3.0,1.0
Mississippi St.,Texas A&M,55,56,-1,2021-01-13,SEC,110.7,98.5,65.4,18.2,17.8,52.1,48.2,19.3,18.1,37.9,25.3,38.9,36.4,1.28,79.0,4,1,SEC,102.0,95.5,66.1,17.7,17.8,49.8,52.4,25.1,24.6,32.7,29.7,29.9,34.5,1.59,77.4,2.0,0.0
Virginia,Notre Dame,80,68,12,2021-01-13,ACC,110.8,89.8,58.7,19.3,19.4,56.0,47.8,13.5,17.1,24.5,23.3,34.7,35.5,1.88,77.7,4,1,ACC,111.2,102.9,66.7,18.2,18.0,53.1,51.4,16.8,12.4,21.2,30.9,37.7,37.7,2.1,78.7,1.0,0.0
Chattanooga,Mercer,83,80,3,2021-01-13,SC,102.3,104.0,68.4,17.4,16.4,51.6,53.0,16.5,19.2,21.8,22.8,37.5,34.3,1.81,77.2,2,0,SC,104.3,103.7,72.4,16.7,16.2,54.3,50.3,19.6,16.5,31.7,28.2,36.8,31.1,1.98,77.5,2.0,0.0
La Salle,George Mason,42,75,-33,2021-01-13,A10,100.1,99.3,67.9,16.6,17.6,52.2,48.0,21.3,20.3,23.5,29.5,38.4,28.3,1.39,76.5,3,0,A10,100.8,99.8,67.9,17.2,17.4,49.0,51.2,19.7,19.1,29.4,23.9,31.3,38.6,1.63,76.0,1.0,0.0
Wyoming,Boise St.,70,90,-20,2021-01-13,MWC,103.5,107.2,69.8,16.4,17.4,53.8,51.0,14.0,19.2,23.3,31.6,37.5,34.1,1.12,78.1,3,0,MWC,109.7,96.9,68.7,16.0,17.8,54.4,45.3,15.4,21.1,32.3,19.8,36.3,29.4,2.03,78.3,5.0,1.0
VMI,Wofford,78,80,-2,2021-01-13,SC,100.0,106.9,70.3,16.3,17.1,51.5,49.7,19.7,15.1,22.7,27.2,36.3,32.1,1.65,76.6,2,1,SC,104.8,101.8,65.9,18.6,16.9,54.0,49.9,22.2,19.0,31.7,33.0,35.7,31.4,1.54,75.8,3.0,1.0
George Washington,VCU,77,84,-7,2021-01-13,A10,102.3,106.6,69.5,17.0,17.2,52.6,50.2,20.3,17.7,28.2,30.4,34.2,33.5,1.41,78.1,2,1,A10,104.5,91.5,70.9,15.5,17.3,53.2,45.4,20.5,25.5,27.2,31.3,34.5,30.2,1.27,77.1,4.0,0.0
Dixie St.,New Mexico,63,72,-9,2021-01-13,WAC,95.5,108.0,71.6,15.1,15.8,49.4,56.1,19.5,18.9,18.8,30.7,32.0,34.1,1.86,76.2,2,0,MWC,96.9,105.8,68.4,17.4,17.6,39.1,55.9,21.2,19.9,30.3,33.6,26.7,38.8,1.48,77.8,3.0,0.0
Northwestern St.,Nicholls St.,66,76,-10,2021-01-13,Slnd,96.5,109.5,72.1,16.6,15.8,45.2,54.6,19.0,16.2,25.2,32.0,32.4,35.0,2.05,75.0,2,1,Slnd,99.7,104.2,71.2,16.7,16.3,49.1,50.6,18.4,21.0,29.2,29.3,31.2,34.5,2.56,76.0,2.0,1.0
Incarnate Word,McNeese St.,83,61,22,2021-01-13,Slnd,92.5,111.5,67.8,17.9,16.5,50.3,52.2,22.7,17.7,21.0,36.2,39.1,29.0,1.21,76.1,3,0,Slnd,96.5,112.0,70.0,16.5,15.0,47.5,56.8,23.3,18.3,24.7,28.9,34.0,39.2,2.44,76.0,1.0,0.0
Fordham,St. Bonaventure,54,68,-14,2021-01-13,A10,90.6,96.6,65.4,19.2,18.3,37.0,55.3,21.7,22.5,25.8,27.0,21.0,34.3,1.68,76.0,1,0,A10,107.9,95.7,68.1,16.9,17.1,49.1,47.3,17.0,20.3,31.2,24.7,32.6,25.7,1.93,77.2,4.0,1.0
Stephen F. Austin,Central Arkansas,95,69,26,2021-01-13,Slnd,98.7,100.0,71.6,16.4,15.6,52.1,58.9,29.9,29.6,30.5,23.3,28.2,43.9,2.44,76.8,3,1,Slnd,99.3,106.6,74.7,15.3,15.9,49.4,51.2,25.2,15.3,27.5,29.0,36.1,37.0,2.16,77.8,3.0,0.0
